"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1225","get started link","","Mon Dec 16 23:31:56 GMT 2024","passed","Mon Dec 16 23:31:58 GMT 2024","","","",""
"","831","validation of screen shot","","Mon Dec 16 23:32:02 GMT 2024","failed","Mon Dec 16 23:32:02 GMT 2024","Demo page","","",""
"","0","validate the free link is visible or not","","Mon Dec 16 23:32:00 GMT 2024","skipped","Mon Dec 16 23:32:00 GMT 2024","Home Page","","",""
"","1823","@UI Locator","","Mon Dec 16 23:31:58 GMT 2024","passed","Mon Dec 16 23:31:59 GMT 2024","","","",""
"","1002","Child window handling","","Mon Dec 16 23:31:53 GMT 2024","failed","Mon Dec 16 23:31:54 GMT 2024","","","",""
"","0","should admin radio button is present","","Mon Dec 16 23:32:00 GMT 2024","skipped","Mon Dec 16 23:32:00 GMT 2024","Home Page","","",""
"","628","validate the page title","","Mon Dec 16 23:31:59 GMT 2024","failed","Mon Dec 16 23:32:00 GMT 2024","Home Page","","",""
"","853","validation","","Mon Dec 16 23:32:00 GMT 2024","failed","Mon Dec 16 23:32:01 GMT 2024","Demo page","","",""
"","826","Different types of locator","","Mon Dec 16 23:31:54 GMT 2024","failed","Mon Dec 16 23:31:55 GMT 2024","","","",""
"","835","@web Error validation","","Mon Dec 16 23:31:55 GMT 2024","failed","Mon Dec 16 23:31:56 GMT 2024","","","",""
