"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 23:26:41 GMT 2024","Fri Feb 16 23:26:45 GMT 2024","3552","","","","","","Different types of locator",""
"passed","Fri Feb 16 23:26:58 GMT 2024","Fri Feb 16 23:26:59 GMT 2024","659","","","Home Page","","","should admin radio button is present",""
"passed","Fri Feb 16 23:26:45 GMT 2024","Fri Feb 16 23:26:49 GMT 2024","4177","","","","","","@web Error validation",""
"passed","Fri Feb 16 23:26:35 GMT 2024","Fri Feb 16 23:26:41 GMT 2024","6083","","","","","","Child window handling",""
"passed","Fri Feb 16 23:26:51 GMT 2024","Fri Feb 16 23:26:55 GMT 2024","4376","","","","","","@UI Locator",""
"passed","Fri Feb 16 23:26:55 GMT 2024","Fri Feb 16 23:26:58 GMT 2024","2228","","","Home Page","","","validate the page title",""
"passed","Fri Feb 16 23:26:49 GMT 2024","Fri Feb 16 23:26:51 GMT 2024","1768","","","","","","get started link",""
"passed","Fri Feb 16 23:26:58 GMT 2024","Fri Feb 16 23:26:58 GMT 2024","679","","","Home Page","","","validate the free link is visible or not",""
"passed","Fri Feb 16 23:26:59 GMT 2024","Fri Feb 16 23:27:04 GMT 2024","5468","","","Demo page","","","validation",""
"passed","Fri Feb 16 23:27:04 GMT 2024","Fri Feb 16 23:27:11 GMT 2024","6900","","","Demo page","","","validation of screen shot",""
